assoc_type	tissue	drug	nr	nc	mat_size	min_prox	mean_prox	med_prox	max_prox
PPI	Adipose_subcutaneous	Acetylsalicylic acid	25	160	4000	1	3.4	3	7
PPI	Adipose_subcutaneous	Acitretin	6	160	960	0	3.525	4	7
PPI	Adipose_subcutaneous	Adapalene	8	160	1280	0	3.58515625	4	7
PPI	Adipose_subcutaneous	Alclometasone			160	0	2.43125	2	5
PPI	Adipose_subcutaneous	Aldesleukin	5	160	800	0	3.57125	4	6
PPI	Adipose_subcutaneous	Alfacalcidol	2	160	320	0	2.903125	3	5
PPI	Adipose_subcutaneous	Alitretinoin	7	160	1120	0	3.68303571428571	4	7
PPI	Adipose_subcutaneous	alpha-Linolenic acid	7	160	1120	0	3.94375	4	8
PPI	Adipose_subcutaneous	Alprostadil	2	160	320	0	3.775	4	6
PPI	Adipose_subcutaneous	Amcinonide	2	160	320	0	2.996875	3	5
PPI	Adipose_subcutaneous	Aminoglutethimide			160	0	3.05625	3	5
PPI	Adipose_subcutaneous	Amiodarone	12	160	1920	0	3.68958333333333	4	7
PPI	Adipose_subcutaneous	Angiotensin II			160	2	3.24375	3	5
PPI	Adipose_subcutaneous	Arsenic trioxide	12	160	1920	0	2.840625	3	6
PPI	Adipose_subcutaneous	Asunaprevir	2	160	320	0	3.371875	3	6
PPI	Adipose_subcutaneous	Atazanavir	6	160	960	0	3.83229166666667	4	7
PPI	Adipose_subcutaneous	Atorvastatin	10	160	1600	0	3.714375	4	7
PPI	Adipose_subcutaneous	Atosiban			160	0	3.65	4	5
PPI	Adipose_subcutaneous	Azilsartan medoxomil			160	2	3.24375	3	5
PPI	Adipose_subcutaneous	Balsalazide	4	160	640	0	3.4421875	3	6
PPI	Adipose_subcutaneous	Baricitinib	5	160	800	0	3.08625	3	5
PPI	Adipose_subcutaneous	Basiliximab	2	160	320	0	3.1625	3	5
PPI	Adipose_subcutaneous	Beclomethasone dipropionate	2	160	320	0	2.715625	3	5
PPI	Adipose_subcutaneous	Belinostat	12	160	1920	0	3.025	3	5
PPI	Adipose_subcutaneous	Benzoic acid			160	0	3.74375	4	6
PPI	Adipose_subcutaneous	Benzylpenicillin	2	160	320	0	3.58125	4	6
PPI	Adipose_subcutaneous	Betamethasone	4	160	640	0	3.1734375	3	5
PPI	Adipose_subcutaneous	Bexarotene	3	160	480	0	3.68125	4	6
PPI	Adipose_subcutaneous	Bezafibrate	7	160	1120	0	3.52767857142857	4	7
PPI	Adipose_subcutaneous	Bilastine			160	0	3.74375	4	6
PPI	Adipose_subcutaneous	Binimetinib	4	160	640	0	3.3765625	3	6
PPI	Adipose_subcutaneous	Budesonide	5	160	800	0	3.25125	3	5
PPI	Adipose_subcutaneous	Bufexamac	3	160	480	2	3.57916666666667	4	6
PPI	Adipose_subcutaneous	Canakinumab			160	0	3.03125	3	5
PPI	Adipose_subcutaneous	Candesartan cilexetil	4	160	640	1	3.4515625	3	6
PPI	Adipose_subcutaneous	Cannabidiol	16	160	2560	0	3.841015625	4	7
PPI	Adipose_subcutaneous	Cholecalciferol	3	160	480	0	3.19583333333333	3	5
PPI	Adipose_subcutaneous	Cholecystokinin	4	160	640	0	3.546875	4	6
PPI	Adipose_subcutaneous	Ciclesonide			160	0	2.43125	2	5
PPI	Adipose_subcutaneous	Citric acid	7	160	1120	0	3.68928571428571	4	6
PPI	Adipose_subcutaneous	Clobetasol propionate	4	160	640	0	3.65	4	7
PPI	Adipose_subcutaneous	Clobetasone			160	0	2.43125	2	5
PPI	Adipose_subcutaneous	Clocortolone			160	0	2.43125	2	5
PPI	Adipose_subcutaneous	Conivaptan	2	160	320	0	3.325	3	5
PPI	Adipose_subcutaneous	Conjugated estrogens	10	160	1600	0	3.60125	4	7
PPI	Adipose_subcutaneous	Copper	95	160	15200	0	3.71960526315789	4	7
PPI	Adipose_subcutaneous	Cortisone acetate			160	0	2.43125	2	5
PPI	Adipose_subcutaneous	Curcumin	5	160	800	0	3.325	3	6
PPI	Adipose_subcutaneous	Danazol	5	160	800	0	2.9325	3	5
PPI	Adipose_subcutaneous	Darolutamide	4	160	640	0	2.8828125	3	5
PPI	Adipose_subcutaneous	Deflazacort			160	0	2.43125	2	5
PPI	Adipose_subcutaneous	Denileukin diftitox	3	160	480	0	3.34166666666667	3	5
PPI	Adipose_subcutaneous	Desmopressin	3	160	480	0	3.73333333333333	4	6
PPI	Adipose_subcutaneous	Desogestrel	4	160	640	0	3.0734375	3	5
PPI	Adipose_subcutaneous	Desonide			160	0	2.43125	2	5
PPI	Adipose_subcutaneous	Desoximetasone			160	0	2.43125	2	5
PPI	Adipose_subcutaneous	Dexamethasone	11	160	1760	0	3.86647727272727	4	7
PPI	Adipose_subcutaneous	Dexibuprofen	12	160	1920	0	3.65052083333333	4	7
PPI	Adipose_subcutaneous	Dextromethorphan	13	160	2080	1	3.57259615384615	4	7
PPI	Adipose_subcutaneous	Dienogest	2	160	320	0	2.55625	2	5
PPI	Adipose_subcutaneous	Diethylstilbestrol	12	160	1920	0	3.584375	4	8
PPI	Adipose_subcutaneous	Diflorasone			160	0	2.43125	2	5
PPI	Adipose_subcutaneous	Difluocortolone			160	0	2.43125	2	5
PPI	Adipose_subcutaneous	Difluprednate			160	0	2.43125	2	5
PPI	Adipose_subcutaneous	Digitoxin	4	160	640	0	3.334375	3	5
PPI	Adipose_subcutaneous	Digoxin	3	160	480	0	3.30625	3	5
PPI	Adipose_subcutaneous	Dinoprostone	3	160	480	0	3.80625	4	6
PPI	Adipose_subcutaneous	Dipyridamole	3	160	480	0	3.83958333333333	4	6
PPI	Adipose_subcutaneous	Doconexent	5	160	800	0	3.7675	4	7
PPI	Adipose_subcutaneous	Donepezil	10	160	1600	0	3.49625	4	6
PPI	Adipose_subcutaneous	Drospirenone	5	160	800	0	3.3125	3	7
PPI	Adipose_subcutaneous	Dydrogesterone			160	0	2.70625	3	5
PPI	Adipose_subcutaneous	Efalizumab	2	160	320	0	4.228125	5	7
PPI	Adipose_subcutaneous	Enzacamene	4	160	640	0	2.7140625	3	5
PPI	Adipose_subcutaneous	Eprosartan	2	160	320	2	3.334375	3	6
PPI	Adipose_subcutaneous	Ergocalciferol	6	160	960	0	3.98645833333333	4	8
PPI	Adipose_subcutaneous	Erlotinib	7	160	1120	0	3.58392857142857	4	6
PPI	Adipose_subcutaneous	Estradiol acetate	10	160	1600	0	3.444375	4	7
PPI	Adipose_subcutaneous	Estradiol benzoate	10	160	1600	0	3.444375	4	7
PPI	Adipose_subcutaneous	Estradiol cypionate	10	160	1600	0	3.444375	4	7
PPI	Adipose_subcutaneous	Estradiol dienanthate	10	160	1600	0	3.444375	4	7
PPI	Adipose_subcutaneous	Estradiol valerate	10	160	1600	0	3.444375	4	7
PPI	Adipose_subcutaneous	Estrone	7	160	1120	0	3.16160714285714	3	6
PPI	Adipose_subcutaneous	Ethynodiol diacetate	2	160	320	0	2.528125	2	5
PPI	Adipose_subcutaneous	Etodolac	4	160	640	0	3.521875	4	6
PPI	Adipose_subcutaneous	Etonogestrel	4	160	640	0	3.0734375	3	5
PPI	Adipose_subcutaneous	Fenofibric acid	4	160	640	0	3.4125	3	7
PPI	Adipose_subcutaneous	Fenoprofen	5	160	800	0	3.5575	4	7
PPI	Adipose_subcutaneous	Ferric cation	4	160	640	0	3.740625	4	5
PPI	Adipose_subcutaneous	Ferric derisomaltose	2	160	320	0	3.3375	3	5
PPI	Adipose_subcutaneous	Ferrous ascorbate	7	160	1120	0	3.67321428571429	4	6
PPI	Adipose_subcutaneous	Ferrous fumarate	7	160	1120	0	3.67321428571429	4	6
PPI	Adipose_subcutaneous	Ferrous gluconate	7	160	1120	0	3.67321428571429	4	6
PPI	Adipose_subcutaneous	Ferrous glycine sulfate	7	160	1120	0	3.67321428571429	4	6
PPI	Adipose_subcutaneous	Ferrous succinate	7	160	1120	0	3.67321428571429	4	6
PPI	Adipose_subcutaneous	Ferrous sulfate anhydrous	4	160	640	0	3.8625	4	6
PPI	Adipose_subcutaneous	Fexofenadine	6	160	960	0	3.88854166666667	4	7
PPI	Adipose_subcutaneous	Fingolimod	5	160	800	0	3.49	4	7
PPI	Adipose_subcutaneous	Fish oil	10	160	1600	0	3.565625	4	7
PPI	Adipose_subcutaneous	Fludrocortisone	4	160	640	0	4.0328125	4	7
PPI	Adipose_subcutaneous	Flufenamic acid	6	160	960	0	3.43958333333333	4	7
PPI	Adipose_subcutaneous	Flumethasone			160	0	2.43125	2	5
PPI	Adipose_subcutaneous	Flunisolide			160	0	2.43125	2	5
PPI	Adipose_subcutaneous	Fluocinolone acetonide	5	160	800	0	3.30375	3	6
PPI	Adipose_subcutaneous	Fluocinonide			160	0	2.43125	2	5
PPI	Adipose_subcutaneous	Fluorometholone			160	0	2.43125	2	5
PPI	Adipose_subcutaneous	Fluoxymesterone	4	160	640	0	2.7515625	3	5
PPI	Adipose_subcutaneous	Flurandrenolide			160	0	2.43125	2	5
PPI	Adipose_subcutaneous	Fluticasone	6	160	960	0	3.528125	4	7
PPI	Adipose_subcutaneous	Fluticasone furoate	5	160	800	0	3.43375	3	7
PPI	Adipose_subcutaneous	Fluticasone propionate	6	160	960	0	3.528125	4	7
PPI	Adipose_subcutaneous	Fluvastatin	5	160	800	0	3.4775	4	6
PPI	Adipose_subcutaneous	Foreskin keratinocyte (neonatal)	10	160	1600	0	3.346875	3	6
PPI	Adipose_subcutaneous	Fostamatinib	164	160	26240	0	3.76330030487805	4	8
PPI	Adipose_subcutaneous	Gallium citrate Ga-67	3	160	480	0	3.56875	4	6
PPI	Adipose_subcutaneous	Gallium nitrate	4	160	640	0	3.5890625	4	6
PPI	Adipose_subcutaneous	Gemfibrozil	4	160	640	0	3.771875	4	7
PPI	Adipose_subcutaneous	Gestrinone	5	160	800	0	2.7425	3	5
