assoc_type	tissue	drug	nr	nc	mat_size	min_prox	mean_prox_actual	med_prox	max_prox	mean_prox_null	sd_prox	prox_zs
GCN	Adipose_subcutaneous	acitretin	9	21	189	0	3.69312169312169	4	8	3.37916931216931	0.302786639831073	1.0368765977506
GCN	Adipose_subcutaneous	acyclovir	5	21	105	0	3.6952380952381	3	8	3.89936190476191	0.47326116608493	-0.431313245522407
GCN	Adipose_subcutaneous	afatinib	3	21	63	2	3.57142857142857	3	6	4.04703174603175	0.606395555050253	-0.784311775774422
GCN	Adipose_subcutaneous	alclometasone	5	21	105	0	3.57142857142857	3	8	4.08108571428572	0.481307725761227	-1.05890081454871
GCN	Adipose_subcutaneous	alitretinoin	10	21	210	1	3.76666666666667	4	8	3.65480952380953	0.315900784705313	0.354089474521203
GCN	Adipose_subcutaneous	alprostadil	8	21	168	1	3.66666666666667	4	8	3.65482142857143	0.345170487149775	0.034317065149606
GCN	Adipose_subcutaneous	amcinonide			21	1	2.76190476190476	3	5	2.92366666666667	0.288329511409742	-0.561031383749102
GCN	Adipose_subcutaneous	aminoglutethimide	3	21	63	1	3.50793650793651	4	6	4.13753968253968	0.618644107968149	-1.01771465450631
GCN	Adipose_subcutaneous	amlodipine			21	2	3.61904761904762	4	6	4.43109523809524	1.18636325697714	-0.684484801996247
GCN	Adipose_subcutaneous	amoxapine	5	21	105	1	3.21904761904762	3	7	3.62890476190476	0.417656668115354	-0.981325510033376
GCN	Adipose_subcutaneous	atomoxetine	8	21	168	1	3.48809523809524	3	8	3.73843452380953	0.378190536129099	-0.661939582826669
GCN	Adipose_subcutaneous	atorvastatin	2	21	42	1	3.28571428571429	4	6	3.958	0.727549875186833	-0.924040725198487
GCN	Adipose_subcutaneous	auranofin	9	21	189	0	3.05820105820106	3	8	3.31466666666667	0.301270296096606	-0.851280766104374
GCN	Adipose_subcutaneous	balsalazide	3	21	63	1	3.11111111111111	3	6	3.42036507936508	0.458643537053042	-0.674279572848762
GCN	Adipose_subcutaneous	belinostat	6	21	126	1	4.13492063492064	4	9	4.02994444444444	0.440851761519297	0.238121290735967
GCN	Adipose_subcutaneous	benzthiazide	4	21	84	1	2.98809523809524	3	5	3.4472380952381	0.397151906285422	-1.15608876572504
GCN	Adipose_subcutaneous	benzylpenicillin	7	21	147	0	3.78231292517007	4	8	3.75349659863946	0.377010567505252	0.0764337369143071
GCN	Adipose_subcutaneous	betamethasone	10	21	210	0	3.51904761904762	3	7	3.85250952380952	0.350041260761799	-0.952635995071504
GCN	Adipose_subcutaneous	bosutinib			21	2	3.57142857142857	4	6	4.49504761904762	1.23275346118437	-0.749232573017221
GCN	Adipose_subcutaneous	brinzolamide	5	21	105	1	3.56190476190476	3	7	3.84384761904762	0.453380491286237	-0.621868083346485
GCN	Adipose_subcutaneous	budesonide	3	21	63	2	3.28571428571429	3	6	3.55017460317461	0.459832066552189	-0.575123695577035
GCN	Adipose_subcutaneous	bupropion	3	21	63	1	3.41269841269841	3	6	3.68163492063492	0.472184384684363	-0.569558241779393
GCN	Adipose_subcutaneous	buspirone	10	21	210	0	3.78571428571429	4	8	3.78217142857143	0.359493273561177	0.00985514167696178
GCN	Adipose_subcutaneous	cabergoline	4	21	84	0	2.83333333333333	3	5	2.94557142857143	0.309666963562793	-0.362447753375994
GCN	Adipose_subcutaneous	caffeine	9	21	189	1	3.62433862433862	4	7	3.61183597883598	0.329787992705086	0.0379111604400369
GCN	Adipose_subcutaneous	capsaicin			21	2	3.61904761904762	4	6	4.41628571428572	1.18455693778631	-0.673026403211965
GCN	Adipose_subcutaneous	carvedilol	6	21	126	1	3.41269841269841	3	7	3.61662698412699	0.394281210916457	-0.517216052356575
GCN	Adipose_subcutaneous	celecoxib	2	21	42	1	3.19047619047619	3	6	3.76495238095238	0.656097751999309	-0.875595425720641
GCN	Adipose_subcutaneous	chloroquine	6	21	126	1	3.88095238095238	4	7	3.90180952380952	0.407462159783018	-0.0511879259370899
GCN	Adipose_subcutaneous	chlorpromazine			21	2	3.61904761904762	3	5	4.51495238095238	1.21235475562502	-0.738979046972834
GCN	Adipose_subcutaneous	clomifene	5	21	105	0	3.26666666666667	3	7	3.60918095238095	0.423488798702601	-0.808791842342951
GCN	Adipose_subcutaneous	clonidine	3	21	63	0	3.61904761904762	4	6	4.46628571428571	0.714927977080921	-1.18506775842987
GCN	Adipose_subcutaneous	danazol			21	2	3.61904761904762	4	6	4.48252380952381	1.15950593045296	-0.744693207510266
GCN	Adipose_subcutaneous	dasatinib	5	21	105	1	3.52380952380952	3	8	3.62326666666667	0.416343422353951	-0.238882464612584
GCN	Adipose_subcutaneous	desipramine	14	21	294	1	3.08163265306122	3	7	3.32636054421769	0.279247219915117	-0.876384342271554
